theme_label,frequency,percent_of_total,representative_quotes,keywords,rank
[comfort_food_reasons] comfort · eat · comfort food · food,7,5.69,"I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues. | None, i don't eat comfort food. I just eat when i'm hungry. | I usually only eat comfort food when I'm bored, if i am doing something, i can go for hours without eating","comfort, eat, comfort food, food, eat comfort, usually eat, usually, sad, bored, stressed, eating, hungry, special occasions, special, anxiety",42
[comfort_food_reasons] sadness boredom · boredom anger · anger · boredom,7,5.69,"sadness, boredom, & anger | Sadness, boredom, late night snack | All of the above; sadness, boredom and confusion","sadness boredom, boredom anger, anger, boredom, sadness, happy, hungry, just",43
[diet_current] balanced · fatty · try · try eat,7,5.65,"balanced | I try to eat a balanced meal. I refrain from anything too fatty. | Not that balanced, but I try not to eat fatty or fried foods.","balanced, fatty, try, try eat, diet, eat, food, refrain, fruits, includes, fried foods, pretty, vitamins, fried, rarely eat",44
[food_childhood] nuggets · chicken nuggets · chicken · cheese,7,5.65,"Chicken Nuggets | dino chicken nuggets | Mac and Cheese, Chicken nuggets","nuggets, chicken nuggets, chicken, cheese, mac cheese, cheese chicken, mac, hamburgers, cheese pasta, macaroni, macaroni cheese, pasta",45
[food_childhood] parm · chicken parm · spaghetti chicken · chicken,7,5.65,"Spaghetti and chicken parm | Chicken parm. | Chicken Parm, Pizza","parm, chicken parm, spaghetti chicken, chicken, spaghetti, beef, tacos, grilled cheese, grilled, pizza, cheese",46
[meals_dinner_friend] grilled · spaghetti · cheese · grilled chicken,7,5.74,"Tacos, spaghetti, grilled cheese | Spaghetti, Grilled Chicken, Pizza | Pancakes, Pasta, Grilled Cheese and Soup","grilled, spaghetti, cheese, grilled chicken, grilled cheese, spaghetti grilled, salmon, mac, mac cheese, chicken spaghetti, alfredo, chicken pizza, chicken, soup, stuffed shells",47
[comfort_food_reasons] boredom stress · stress · boredom · good,6,4.88,"boredom, stress | Boredom, stress | boredom and stress","boredom stress, stress, boredom, good",48
[comfort_food_reasons] stress · bored · anger,6,4.88,Stress | Mostly Stress,"stress, bored, anger",49
[diet_current] eat lots · lots · water · eat,6,4.84,"i drink alot of lemon water, and milk. i also eat ice cream frequently after dinner. but i also eat lots of fruits and veggies | I eat lots of fruit and veggies. I eat lots of chicken. | At this time it is very touch and go. Some days I live on sandwiches and ice cream while other days I eat lots of fruits and vegetables.","eat lots, lots, water, eat, veggies, fruit, fruits veggies, fruits, lots fruits, ice cream, ice, cream, drink, consumption, health",50
[eating_changes] lot · lot healthier · eating lot · healthier,6,5.0,I have started eating a lot healthier. | I started eating a lot less and healthier because I wasn't playing sports year round anymore. | A lot healthier,"lot, lot healthier, eating lot, healthier, started eating, eating, started, salads, eat lot, anymore, playing, year, food, eat",51
[healthy_meal] green · foods · color · fish,6,4.84,Green and not greasy | Green and colourful | Mostly green!,"green, foods, color, fish, lots, potatoes, food organic, organic, chicken, food",52
[meals_dinner_friend] soup · soup steak · salmon · pasta,6,4.92,"Chicken parmigiana, pasta, wedding soup | pasta, soup, steak | Tomato soup, Steak, crab","soup, soup steak, salmon, pasta, rice chicken, steak, chicken, italian, potato, crackers, spaghetti pasta, rice, spaghetti",53
[comfort_food] peanut butter · peanut · butter · dark chocolate,5,4.07,"peanut butter sandwich, pretzals, garlic bread | peanut butter, dessets, pretzels. | mac n cheese, peanut butter and banana sandwich, omelet","peanut butter, peanut, butter, dark chocolate, dark, pretzels, sandwich, bread, chocolate, carrots, cheese, mac cheese, mac, chips",54
[comfort_food_reasons] stress sadness · stress · sadness · sadness boredom,5,4.07,"stress, sadness | Stress and sadness | Stress, sadness, boredom","stress sadness, stress, sadness, sadness boredom, bored, boredom",55
[eating_changes] eat,5,4.17,eat faster | I eat out more than usual. | I eat more,eat,56
[food_childhood] chicken pizza · pasta chicken · pizza · chicken,5,4.03,"Pasta, chicken, pizza | Pasta, chicken tender, pizza | Chicken, Pizza, Cherry tomatoes","chicken pizza, pasta chicken, pizza, chicken, pasta, salad, pizza pasta",57
[food_childhood] lasagna · meatloaf · pizza · crab,5,4.03,"lasagna, meatloaf, pizza | Pizza, Pita, Lasagna | lasagna","lasagna, meatloaf, pizza, crab, steak",58
[meals_dinner_friend] fish · fish steak · pasta fish · pasta,5,4.1,"Pasta, Fish, Steak | Pasta, fish, steak | pasta, fish, steak","fish, fish steak, pasta fish, pasta, steak, spaghetti, parm, chicken parm, chicken",59
[eating_changes] eating · dairy · diet · rice,4,3.33,Expansion of eating variety | My diet could improve now. I have been eating more than I should. | Eating rice everyday. Eating less homemade food.,"eating, dairy, diet, rice, everyday, food",60
[food_childhood] stir · stir fry · fry · chicken parmesan,4,3.23,"chicken stir fry, spaghetti, chicken parmesan | Mac & Cheese, Chicken, Stir Fry | chicken, pasta, stir fry","stir, stir fry, fry, chicken parmesan, parmesan, chicken, chicken stir, chicken pasta, cheese chicken, spaghetti chicken, pasta, mac cheese, mac, cheese, spaghetti",61
[ideal_diet] current · current diet · diet · carbs,4,3.23,"My current diet | Same as current diet | The same as my current diet, maybe less carbs.","current, current diet, diet, carbs, ideal, ideal diet",62
[comfort_food_reasons] sadness,3,2.44,sadness,sadness,63
[eating_changes] eat fruits · fruits vegetables · fruits · vegetables,3,2.5,I have begun to eat more fruits and vegetables because I have been more aware of my physique. | I do not eat as many fruits and vegetables as I normally would as being home even though i do eat them still | I try to eat more fruits and vegetables,"eat fruits, fruits vegetables, fruits, vegetables, eat, home eat, try eat, try, home",64
[eating_changes] eating pizza · pizza · fast food · fast,3,2.5,Eating more pizza and burgers or fast food. | Eating Pizza as an excuse when there is nothing else to it. | sometimes choosing to eat fast food instead of cooking simply for convenience,"eating pizza, pizza, fast food, fast, eating, food, instead, convenience, eat",65
[food_childhood] wings · pizza · noodle · pizza chicken,3,2.42,"Pizza and wings | Pizza, chicken wings, and corn on the cob | Noodle, Wings, and Tiramisu","wings, pizza, noodle, pizza chicken, chicken",66
[healthy_meal] colorful · portions · larger · food,3,2.42,Colorful | Very colorful and smaller portions of the unhealthy food with larger portions of vegetables,"colorful, portions, larger, food, vegetables",67
[ideal_diet] home · home cooked · cooked · cooked meal,3,2.42,"More of a home cooked meal that is not very greasy. Also includes more fruits and vegetables. | My ideal diet right now would be how it was when I lived at home. I ate breakfast every morning, brought a lunch to school, and had a home cooked meal by my mom that included meat, vegetables and a... | All home cooked. Healthy. Vegetables and fruit.","home, home cooked, cooked, cooked meal, meal, vegetables, vegetables fruit, fruit, school, mom, fruits vegetables, meat vegetables, ate, breakfast, lunch",68
